_id.$oid,info.上市年份季节,info.上市时间,info.产品名称,info.低帮鞋品名,info.功能,info.吊牌价,info.品牌,info.图案,info.场合,info.外底材料,info.季节,info.尺码,info.帮面内里材质,info.帮面材质,info.性别,info.是否商场同款,info.是否瑕疵,info.款号,info.款式,info.流行元素,info.真皮材质工艺,info.细分风格,info.货号,info.跟底款式,info.运动系列,info.运动鞋科技,info.适合路面,info.适用对象,info.销售渠道类型,info.闭合方式,info.靴子品名,info.靴筒内里材质,info.靴筒材质,info.靴筒高度,info.鞋制作工艺,info.鞋垫材质,info.鞋头款式,info.鞋底材质,info.鞋码,info.鞋跟高,info.鞋面内里材质,info.鞋面材质,info.颜色分类,info.风格,itemid,location,nick,price,sales,title,url
5aa77041be9b0338dc1faab4,2018年春季,,,商务休闲鞋,轻质,,YEARCON/意尔康,纯色,日常,,春秋,383940414243,,,,,,,商务休闲鞋,,纳帕纹,商务休闲,8142ZR90254W,平跟,,,,青年（18-40周岁）,商场同款(线上线下都销售),松紧带,,,,,注压鞋,PU,圆头,塑胶,,,PU,头层牛皮（除牛反绒）,黑色土黄,商务,562121114807,浙江 丽水,意尔康皮鞋旗舰店,269.00,1583人付款,意尔康男鞋2018春季新款英伦真皮商务休闲皮鞋青年男士皮鞋子男潮,http://detail.tmall.com/item.htm?id=562121114807&ns=1&abbucket=9
5aa77042be9b0338dc1faab5,2017年秋季,,,商务休闲鞋,轻质,,YEARCON/意尔康,纯色,办公室,,夏季,38394041424344,,,,,,,商务休闲鞋,金属,修面皮,商务休闲,7341ZL97655W,平跟,,,,青年（18-40周岁）中年（40-60周岁）老年（60周岁以上）,商场同款(线上线下都销售),套脚,,,,,注压鞋,二层猪皮,圆头,塑胶,,低跟(1-3cm),二层猪皮,头层牛皮（除牛反绒）,黑色棕色黑色加绒版棕色加绒版黑色镂空棕色镂空,商务,545941839337,浙江 丽水,意尔康皮鞋旗舰店,199.00,1607人付款,意尔康旗舰店官方店男鞋春秋真皮爸爸鞋中老年人商务休闲皮鞋子男,http://detail.tmall.com/item.htm?id=545941839337&ns=1&abbucket=9
5aa77042be9b0338dc1faab6,,,,,透气,,YEARCON/意尔康,纯色,办公室,,春秋,38 39 40 41 42 43 44,,,,,,,德比鞋（正装皮鞋）,车缝线,,商务正装,,平跟,,,,青年（18-40周岁） 中年（40-60周岁）,,系带,,,,,胶粘鞋,二层猪皮,尖头,橡胶,,平跟(小于等于1cm),二层猪皮,头层牛皮（除牛反绒）,黑色,商务,563340844728,浙江 温州,吸引力xl,148.00,248人付款,2017新款正品意尔康男鞋男士商务正装皮鞋透气真皮系带尖头办公室,http://item.taobao.com/item.htm?id=563340844728&ns=1&abbucket=9#detail
5aa77042be9b0338dc1faab7,,,,,透气,,YEARCON/意尔康,纯色,日常,,冬季,37 38 39 40 41 42 43 44,,,,,,,商务休闲鞋,素面,漆皮,商务休闲,883053,平跟,,,,青年（18-40周岁） 中年（40-60周岁）,,套脚,,,,,注压鞋,头层猪皮,圆头,橡胶,,平跟(小于等于1cm),头层猪皮,头层牛皮（除牛反绒）,黑色真皮 棕色真皮 黑色加绒真皮 棕色加绒真皮,商务,561684297836,浙江 温州,乙方乙方88888,158.00,195人付款,皮鞋男正品意尔康休闲商务真皮一脚蹬爸爸鞋春季新款圆头透气男鞋,http://item.taobao.com/item.htm?id=561684297836&ns=1&abbucket=9#detail
5aa77042be9b0338dc1faab8,2017年秋季,,,休闲皮鞋,耐磨,,YEARCON/意尔康,纯色,日常,,春秋,383940414243,,,,,,,休闲皮鞋,车缝线,修面皮,日常休闲,7511ZE97187W,平跟,,,,青年（18-40周岁）,商场同款(线上线下都销售),套脚,,,,,胶粘鞋,二层猪皮,圆头,橡胶,,平跟(小于等于1cm),布,头层牛皮（除牛反绒）,黑色单鞋土黄单鞋,休闲,555004335522,浙江 丽水,意尔康男鞋旗舰店,279.00,37人付款,意尔康男鞋2018春季真皮套脚休闲鞋潮流新款舒适一脚蹬单鞋皮鞋,http://detail.tmall.com/item.htm?id=555004335522&ns=1&abbucket=9
5aa77042be9b0338dc1faab9,,,,,透气,,YEARCON/意尔康,纯色,日常,,春秋,38 39 40 41 42 43 44,,,,,,,豆豆鞋,素面,半粒面,日常休闲,Y6803,平跟,,,,青年（18-40周岁）,,套脚,,,,,胶粘鞋,二层猪皮,圆头,橡胶,,低跟(1-3cm),头层猪皮,头层牛皮（除牛反绒）,深棕色 黄色 黑色,休闲,564964745252,浙江 温州,彬源商社,148.00,55人付款,意尔康男鞋春季新款男士商务休闲皮鞋软皮软底爸爸鞋工作真皮鞋男,http://item.taobao.com/item.htm?id=564964745252&ns=1&abbucket=9#detail
5aa77042be9b0338dc1faaba,,,,,轻质,,YEARCON/意尔康,纯色,日常,,春秋,38 39 40 41 42 43 44 45 46 47,,,,,,,商务休闲鞋,素面,压花皮,日常休闲,9223,平跟,,,,,,系带,,,,,注压鞋,头层猪皮,圆头,橡胶,,低跟(1-3cm),二层猪皮,头层牛皮（除牛反绒）,黑色加绒 深棕加绒 黑色 深棕色,休闲,563096023544,浙江 温州,特别20150728,168.00,147人付款,意尔康男鞋正品男士休闲皮鞋软底真皮系带中年爸爸鞋春季新款软面,http://item.taobao.com/item.htm?id=563096023544&ns=1&abbucket=9#detail
5aa77042be9b0338dc1faabb,,,,,增高,,YEARCON/意尔康,纯色,约会,,春秋,37 38 39 40 41 42 43 44,,,,,,,休闲皮鞋,车缝线,纳帕纹,英伦,,平跟,,,,青年（18-40周岁）,,拉链,,,,,胶粘鞋,,圆头,橡胶,,低跟(1-3cm),二层猪皮,头层牛皮（除牛反绒）,黑色（不增高） 棕色（不增高） 黑色（内增高） 棕色（内增高）,青春潮流,563907049771,浙江 温州,tb877572_00,148.00,80人付款,2017新款意尔康男鞋真皮休闲鞋春秋内增高6cm低帮男系带休闲皮鞋,http://item.taobao.com/item.htm?id=563907049771&ns=1&abbucket=9#detail
5aa77042be9b0338dc1faabc,2017年秋季,,,德比鞋（正装皮鞋）,耐磨,,YEARCON/意尔康,纯色,办公室,,春秋,38394041424344,,,,,,,德比鞋（正装皮鞋）,车缝线,修面皮,商务正装,7801ZE90138W,平跟,,,,青年（18-40周岁）,商场同款(线上线下都销售),系带,,,,,胶粘鞋,二层猪皮,圆头,橡胶,,平跟(小于等于1cm),PU,头层牛皮（除牛反绒）,黑色,商务,560523430934,浙江 丽水,意尔康男鞋旗舰店,299.00,78人付款,意尔康男鞋2018春季新款商务正装真皮系带婚鞋英伦风尖头韩版皮鞋,http://detail.tmall.com/item.htm?id=560523430934&ns=1&abbucket=9
5aa77043be9b0338dc1faabd,,,,,透气,,YEARCON/意尔康,,日常,,冬季,38 39 40 41 42 43 44,,,,,,,休闲皮鞋,,,日常休闲,,,,,,中年（40-60周岁） 老年（60周岁以上）,,系带,,,,,胶粘鞋,,圆头,橡胶,,,头层猪皮,头层牛皮（除牛反绒）,棕色 黑色,休闲,563357888067,江苏 扬州,扬州独show,168.00,27人付款,意尔康正品男鞋真皮春季系带男士休闲皮鞋中老年防滑软底爸爸单鞋,http://item.taobao.com/item.htm?id=563357888067&ns=1&abbucket=9#detail
