"Technology","Age","CustomerSince","SupportCallsLastYear","AverageBill","ChurnIndicator"
"4G",1,2013-06-06 22:27:16,1,71,0.013
"phone",46,2011-10-05 22:27:16,0,88,0.006
"4G",47,2012-07-24 22:27:16,1,80,0.016
"phone",43,2010-08-31 22:27:16,1,64,0.021
"fiber",37,2011-07-24 22:27:16,2,105,0.032
"phone",10,2010-07-04 22:27:16,0,44,0.016
"landline",56,2015-08-06 22:27:16,0,36,0.001
"4G",16,2014-05-11 22:27:16,2,34,0.027
"phone",35,2012-02-07 23:27:16,1,55,0.018
"fiber",57,2015-09-20 22:27:16,0,53,0.001
"phone",3,2013-07-05 22:27:16,0,43,0.007
"fiber",37,2011-05-08 22:27:16,0,26,0.045
"4G",10,2013-07-28 22:27:16,2,39,0.035
"fiber",40,2012-01-28 23:27:16,1,104,0.019
"4G",39,2015-05-14 22:27:16,1,57,0.004
"4G",65,2013-01-10 23:27:16,2,64,0.026
"phone",35,2012-10-08 22:27:16,0,30,0.013
"4G",19,2011-06-30 22:27:16,10,41,0.226
"phone",27,2011-09-10 22:27:16,0,11,0.049
"fiber",12,2012-05-16 22:27:16,0,108,0.008
"4G",16,2012-07-17 22:27:16,1,79,0.016
"phone",16,2012-03-19 23:27:16,0,55,0.009
"landline",11,2013-07-13 22:27:16,2,94,0.005
"fiber",46,2015-09-01 22:27:16,4,85,0.004
"phone",16,2011-10-20 22:27:16,2,96,0.016
"phone",60,2014-06-19 22:27:16,4,11,0.085
"4G",5,2010-10-05 22:27:16,1,11,0.179
"4G",67,2014-08-27 22:27:16,1,74,0.007
"4G",71,2012-01-06 23:27:16,0,72,0.01
"phone",74,2013-10-08 22:27:16,4,93,0.015
"4G",71,2014-06-03 22:27:16,0,99,0.003
"4G",1,2015-01-31 23:27:16,3,40,0.016
"4G",23,2013-11-22 23:27:16,0,96,0.004
"phone",75,2010-10-22 22:27:16,0,79,0.008
"4G",72,2011-12-03 23:27:16,0,103,0.007
"4G",51,2012-07-18 22:27:16,0,44,0.015
"phone",63,2014-12-03 23:27:16,1,56,0.005
"4G",47,2014-09-07 22:27:16,2,104,0.007
"fiber",41,2011-12-07 23:27:16,4,69,0.074
"phone",59,2011-09-04 22:27:16,1,68,0.016
"phone",64,2011-08-21 22:27:16,0,64,0.009
"phone",44,2011-06-12 22:27:16,8,94,0.054
"landline",76,2013-08-28 22:27:16,0,81,0.002
"phone",60,2014-04-16 22:27:16,8,56,0.034
"fiber",48,2012-05-01 22:27:16,5,37,0.148
"fiber",60,2015-10-29 23:27:16,0,41,0.001
"4G",25,2014-10-18 22:27:16,1,97,0.005
"4G",79,2014-01-01 23:27:16,8,36,0.092
"4G",43,2012-10-01 22:27:16,0,70,0.009
"phone",28,2010-07-21 22:27:16,1,77,0.018
"4G",43,2013-01-23 23:27:16,0,101,0.005
"landline",58,2011-01-15 23:27:16,6,62,0.035
"phone",67,2011-05-11 22:27:16,2,78,0.022
"4G",77,2015-01-28 23:27:16,1,48,0.007
"4G",31,2013-12-29 23:27:16,1,104,0.007
"4G",23,2011-07-31 22:27:16,2,38,0.065
"fiber",78,2011-10-06 22:27:16,0,110,0.01
"fiber",57,2012-07-30 22:27:16,0,28,0.03
"landline",39,2013-03-13 23:27:16,7,68,0.02
"fiber",42,2014-08-04 22:27:16,0,65,0.005
"fiber",51,2015-01-01 23:27:16,0,102,0.002
"fiber",18,2014-08-30 22:27:16,0,72,0.005
"landline",42,2011-08-30 22:27:16,4,106,0.013
"4G",43,2012-05-01 22:27:16,1,93,0.015
"4G",19,2013-12-21 23:27:16,0,38,0.01
"fiber",13,2014-11-30 23:27:16,0,65,0.004
"fiber",60,2013-08-26 22:27:16,1,86,0.014
"4G",74,2010-10-26 22:27:16,1,98,0.02
"phone",29,2013-10-09 22:27:16,9,41,0.067
"phone",63,2013-08-10 22:27:16,0,22,0.013
"4G",13,2012-04-26 22:27:16,0,20,0.034
"landline",49,2012-05-23 22:27:16,10,44,0.056
"phone",23,2014-12-02 23:27:16,1,60,0.004
"fiber",13,2014-12-20 23:27:16,0,48,0.005
"landline",3,2012-07-23 22:27:16,2,76,0.008
"4G",80,2015-04-11 22:27:16,1,72,0.004
"fiber",63,2015-04-13 22:27:16,0,106,0.002
"4G",64,2012-01-09 23:27:16,4,75,0.05
"phone",37,2012-06-10 22:27:16,0,107,0.004
"fiber",76,2013-02-03 23:27:16,0,40,0.018
"4G",40,2013-03-15 23:27:16,1,108,0.01
"phone",46,2012-07-23 22:27:16,1,50,0.017
"fiber",40,2013-11-15 23:27:16,2,89,0.018
"landline",56,2011-07-26 22:27:16,3,84,0.013
"phone",54,2013-04-01 22:27:16,2,51,0.02
"4G",52,2015-03-02 23:27:16,2,94,0.005
"landline",50,2013-04-18 22:27:16,2,88,0.006
"fiber",18,2014-10-13 22:27:16,1,83,0.007
"fiber",31,2014-02-02 23:27:16,1,99,0.009
"phone",26,2011-09-24 22:27:16,7,19,0.224
"fiber",17,2010-08-07 22:27:16,0,83,0.016
"landline",8,2011-09-02 22:27:16,0,15,0.018
"fiber",27,2014-03-24 23:27:16,0,85,0.005
"4G",36,2012-05-26 22:27:16,1,45,0.03
"4G",57,2012-01-26 23:27:16,1,108,0.014
"fiber",6,2014-06-26 22:27:16,0,74,0.005
"phone",55,2014-05-11 22:27:16,1,102,0.004
"fiber",1,2015-03-28 23:27:16,4,50,0.018
"landline",14,2012-10-13 22:27:16,9,31,0.064
"phone",36,2013-04-14 22:27:16,2,104,0.01
"4G",44,2011-04-15 22:27:16,2,82,0.032
"4G",71,2014-03-11 23:27:16,2,68,0.015
"phone",17,2014-06-01 22:27:16,7,50,0.031
"fiber",53,2010-10-09 22:27:16,2,36,0.109
"phone",30,2014-01-12 23:27:16,4,69,0.018
"phone",36,2010-08-20 22:27:16,0,15,0.045
"landline",41,2012-12-22 23:27:16,1,17,0.022
"fiber",65,2015-09-30 22:27:16,0,43,0.001
"fiber",5,2012-04-13 22:27:16,2,27,0.103
"4G",39,2012-05-23 22:27:16,2,25,0.081
"phone",56,2015-01-22 23:27:16,0,36,0.003
"4G",79,2012-06-15 22:27:16,3,39,0.068
"phone",39,2015-10-19 22:27:16,0,97,0.0
"fiber",10,2015-10-03 22:27:16,1,24,0.004
"fiber",40,2012-04-26 22:27:16,2,103,0.027
"fiber",59,2010-09-12 22:27:16,1,89,0.03
"phone",56,2011-10-25 22:27:16,1,85,0.012
"landline",63,2015-01-03 23:27:16,0,90,0.001
"landline",40,2013-10-28 23:27:16,0,94,0.001
"fiber",69,2012-07-09 22:27:16,0,105,0.008
"4G",51,2013-08-14 22:27:16,9,30,0.147
"phone",15,2014-10-02 22:27:16,10,29,0.057
"phone",20,2013-03-15 23:27:16,2,75,0.014
"4G",75,2015-08-10 22:27:16,0,39,0.002
"phone",30,2014-03-19 23:27:16,9,70,0.031
"4G",4,2015-02-16 23:27:16,1,72,0.004
"phone",31,2015-08-11 22:27:16,0,56,0.001
"4G",10,2015-05-06 22:27:16,0,52,0.002
"phone",33,2013-05-20 22:27:16,0,33,0.01
"landline",74,2012-08-10 22:27:16,0,84,0.003
"phone",77,2011-02-14 23:27:16,0,106,0.006
"4G",53,2015-10-11 22:27:16,3,53,0.003
"phone",16,2011-10-23 22:27:16,0,67,0.008
"4G",31,2013-07-14 22:27:16,0,24,0.019
"phone",51,2013-05-04 22:27:16,1,33,0.02
"4G",35,2014-12-13 23:27:16,1,72,0.005
"4G",35,2013-05-19 22:27:16,0,71,0.007
"fiber",58,2012-08-11 22:27:16,0,32,0.026
"fiber",12,2013-12-01 23:27:16,6,43,0.084
"fiber",79,2015-01-04 23:27:16,0,90,0.003
"4G",35,2011-09-30 22:27:16,0,36,0.022
"phone",59,2011-05-27 22:27:16,3,63,0.036
"fiber",50,2015-12-02 23:27:16,0,31,0.0
"4G",17,2011-05-15 22:27:16,1,89,0.02
"phone",56,2014-02-05 23:27:16,3,48,0.019
"4G",60,2013-10-21 22:27:16,2,23,0.053
"4G",55,2013-05-13 22:27:16,10,44,0.122
"fiber",70,2013-01-21 23:27:16,9,35,0.209
"fiber",4,2014-06-26 22:27:16,0,13,0.029
"landline",19,2014-07-07 22:27:16,0,49,0.002
"phone",3,2015-05-22 22:27:16,8,54,0.012
"landline",35,2013-09-21 22:27:16,7,55,0.02
"phone",49,2014-11-13 23:27:16,0,65,0.002
"phone",45,2014-10-09 22:27:16,1,82,0.004
"phone",34,2010-12-03 23:27:16,0,55,0.012
"landline",76,2015-08-28 22:27:16,6,24,0.005
"phone",65,2013-12-23 23:27:16,0,81,0.003
"phone",28,2011-08-27 22:27:16,0,72,0.008
"landline",16,2011-08-21 22:27:16,3,84,0.013
"landline",76,2014-10-11 22:27:16,6,73,0.007
"4G",25,2014-10-29 23:27:16,0,61,0.003
"phone",30,2015-10-03 22:27:16,8,20,0.011
"4G",32,2010-08-25 22:27:16,0,83,0.012
"4G",76,2013-05-05 22:27:16,3,95,0.021
"phone",65,2011-06-07 22:27:16,3,90,0.025
"4G",79,2014-08-07 22:27:16,3,75,0.014
"fiber",45,2015-05-02 22:27:16,0,51,0.003
"phone",67,2012-04-04 22:27:16,0,33,0.014
"4G",78,2013-12-14 23:27:16,1,40,0.019
"phone",48,2013-03-18 23:27:16,2,106,0.01
"4G",40,2012-10-24 22:27:16,4,11,0.27
"4G",59,2010-12-04 23:27:16,4,92,0.052
"landline",18,2013-06-25 22:27:16,0,58,0.003
"phone",67,2013-04-15 22:27:16,0,88,0.004
"phone",69,2014-10-01 22:27:16,0,90,0.002
"fiber",29,2012-10-19 22:27:16,5,42,0.114
"fiber",9,2014-09-04 22:27:16,1,94,0.007
"landline",21,2013-11-27 23:27:16,0,13,0.01
"landline",13,2012-08-21 22:27:16,0,56,0.004
"phone",39,2012-03-03 23:27:16,1,35,0.027
"4G",17,2011-09-22 22:27:16,0,82,0.01
"4G",5,2015-03-20 23:27:16,0,79,0.002
"phone",18,2012-12-21 23:27:16,0,100,0.004
"phone",10,2010-12-29 23:27:16,4,16,0.196
"phone",28,2015-02-11 23:27:16,0,93,0.001
"4G",8,2012-08-20 22:27:16,3,66,0.038
"phone",47,2011-01-14 23:27:16,1,20,0.062
"4G",72,2013-10-25 22:27:16,1,27,0.03
"4G",79,2014-03-29 23:27:16,2,101,0.01
"phone",65,2012-05-30 22:27:16,2,74,0.018
"4G",79,2015-09-05 22:27:16,0,86,0.001
"phone",58,2013-04-17 22:27:16,1,103,0.007
"4G",7,2010-12-16 23:27:16,0,45,0.021
"fiber",3,2011-07-08 22:27:16,8,58,0.174
"landline",79,2012-04-03 22:27:16,0,56,0.004
"4G",48,2011-11-22 23:27:16,0,20,0.038
"fiber",2,2013-09-07 22:27:16,2,48,0.036
"4G",28,2015-07-25 22:27:16,1,61,0.002
"phone",72,2011-11-02 23:27:16,0,71,0.007
"phone",45,2012-06-28 22:27:16,0,46,0.009
"landline",1,2014-04-28 22:27:16,0,26,0.004
"phone",42,2014-04-05 22:27:16,1,44,0.01
"landline",44,2013-09-14 22:27:16,0,84,0.002
"4G",18,2014-05-01 22:27:16,4,109,0.014
